state_code,filing_status,income_min,income_max,rate,tax_year,notes
DC,single,0,10000,0.04,2025,
DC,single,10000,40000,0.06,2025,
DC,single,40000,60000,0.065,2025,
DC,single,60000,250000,0.085,2025,
DC,single,250000,500000,0.0925,2025,
DC,single,500000,1000000,0.0975,2025,
DC,single,1000000,9999999,0.1075,2025,
VA,single,0,3000,0.02,2025,
VA,single,3000,5000,0.03,2025,
VA,single,5000,17000,0.05,2025,
VA,single,17000,9999999,0.0575,2025,
TX,single,0,9999999,0.0,2025,No state income tax
FL,single,0,9999999,0.0,2025,No state income tax
WA,single,0,9999999,0.0,2025,No state income tax
US,single,0,11925,0.10,2025,Federal 2025 single
US,single,11925,48475,0.12,2025,
US,single,48475,103350,0.22,2025,
US,single,103350,197300,0.24,2025,
US,single,197300,250525,0.32,2025,
US,single,250525,626350,0.35,2025,
US,single,626350,9999999,0.37,2025,
